,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000
502,1800,Vevey,,,,2.0,0.0001040582726326743,0.1040582726326743
503,1801,Chardonne,,,,,,
504,1802,"Chardonne, Corseaux",,,,,,
505,1803,"Chardonne, Jongny",,,,,,
506,1804,"Corsier-sur-Vevey, Jongny",,,,,,
507,1805,"Chardonne, Corsier-sur-Vevey, Jongny",,,,1.0,0.0006821282401091405,0.6821282401091405
508,1806,Saint-Légier-La Chiésaz,,,,1.0,0.0001967729240456513,0.1967729240456513
509,1807,"Blonay, Montreux",,,,3.0,0.0004838709677419355,0.4838709677419355
510,1808,"Attalens, Corsier-sur-Vevey",,,,,,
511,1809,Corsier-sur-Vevey,,,,,,
512,1814,La Tour-de-Peilz,,,,2.0,0.00017861927301955882,0.17861927301955882
513,1815,Montreux,,,,1.0,0.0001108278842956888,0.1108278842956888
514,1816,"Blonay, Montreux",,,,,,
515,1817,Montreux,,,,,,
516,1820,"Montreux, Veytaux",,,,2.0,0.00018821757952192734,0.18821757952192733
517,1822,Montreux,,,,,,
518,1823,Montreux,,,,,,
519,1824,Montreux,,,,,,
520,1832,Montreux,,,,,,
521,1833,Montreux,,,,,,
522,1844,Villeneuve (VD),,,,,,
523,1845,Noville,,,,,,
524,1846,"Chessel, Yvorne",,,,,,
525,1847,Rennaz,,,,,,
526,1852,"Roche (VD), Yvorne",,,,,,
527,1853,Yvorne,,,,,,
528,1854,Leysin,,,,,,
529,1856,Corbeyrier,,,,,,
530,1860,"Aigle, Ollon",,,,,,
531,1862,Ormont-Dessous,,,,,,
532,1863,"Aigle, Ormont-Dessous",,,,,,
533,1864,"Ormont-Dessous, Ormont-Dessus",,,,,,
534,1865,Ormont-Dessus,,,,,,
535,1866,"Ollon, Ormont-Dessous, Ormont-Dessus",,,,,,
536,1867,Ollon,,,,1.0,0.00025581990278843696,0.25581990278843697
537,1868,Collombey-Muraz,,,,1.0,0.0001984126984126984,0.1984126984126984
538,1869,Massongex,,,,,,
539,1870,Monthey,,,,,,
540,1871,"Monthey, Massongex",,,,2.0,0.0008382229673093043,0.8382229673093042
541,1872,"Collombey-Muraz, Troistorrents",,,,,,
542,1873,Val-d'Illiez,,,,,,
543,1874,Champéry,,,,,,
544,1875,Troistorrents,,,,1.0,0.0012903225806451613,1.2903225806451613
545,1880,"Bex, Gryon",1.0,0.000140964195094446,0.14096419509444602,1.0,0.000140964195094446,0.14096419509444602
546,1882,"Bex, Gryon",,,,,,
547,1884,Ollon,,,,2.0,0.0011402508551881414,1.1402508551881414
548,1885,Ollon,,,,,,
549,1890,Saint-Maurice,,,,,,
550,1891,"Massongex, Vérossaz",,,,,,
551,1892,Lavey-Morcles,,,,,,
552,1893,Collombey-Muraz,,,,,,
553,1895,Vionnaz,,,,,,
554,1896,Vouvry,,,,2.0,0.0005076142131979696,0.5076142131979696
555,1897,"Port-Valais, Vouvry",,,,,,
556,1898,Saint-Gingolph,1.0,0.0010905125408942203,1.0905125408942202,,,
557,1899,Vionnaz,,,,,,
558,1902,"Evionnaz, Saint-Maurice",,,,1.0,0.0007776049766718507,0.7776049766718507
559,1903,Collonges,,,,1.0,0.001422475106685633,1.4224751066856332
560,1904,"Martigny, Vernayaz",,,,,,
561,1905,Dorénaz,,,,,,
562,1906,"Charrat, Martigny",,,,,,
563,1907,Saxon,,,,,,
564,1908,Riddes,,,,,,
565,1911,"Chamoson, Leytron",,,,,,
566,1912,Leytron,,,,,,
567,1913,Saillon,,,,,,
568,1914,"Isérables, Riddes",,,,,,
569,1918,Riddes,,,,,,
570,1920,"Martigny, Vernayaz",,,,3.0,0.00017487612940833577,0.17487612940833577
571,1921,Martigny-Combe,,,,,,
572,1922,Salvan,,,,,,
573,1923,Salvan,,,,,,
574,1925,Finhaut,,,,,,
575,1926,Fully,,,,,,
576,1927,"Vollèges, Bovernier, Martigny",,,,,,
577,1928,Martigny-Combe,,,,,,
578,1929,Trient,,,,,,
579,1932,"Bovernier, Martigny-Combe",,,,,,
580,1933,"Sembrancher, Vollèges",,,,,,
581,1934,Bagnes,,,,,,
582,1936,Bagnes,,,,,,
583,1937,Orsières,,,,,,
584,1938,Orsières,,,,,,
585,1941,Vollèges,,,,,,
586,1942,Vollèges,,,,,,
587,1943,Orsières,,,,,,
588,1944,Orsières,,,,,,
589,1945,Liddes,,,,,,
590,1946,Bourg-Saint-Pierre,,,,,,
591,1947,Bagnes,,,,,,
592,1948,Bagnes,,,,,,
593,1950,"Grimisuat, Savièse, Sion",,,,2.0,7.68344218209758e-05,0.0768344218209758
594,1955,Chamoson,,,,,,
595,1957,Ardon,,,,,,
596,1958,"Ayent, Saint-Léonard, Sierre, Sion",,,,,,
597,1961,Mont-Noble,,,,,,
598,1962,"Savièse, Sion",,,,,,
599,1963,Vétroz,,,,,,
600,1964,Conthey,,,,,,
601,1965,"Savièse, Sion",,,,,,
602,1966,Ayent,,,,1.0,0.0003117206982543641,0.3117206982543641
603,1967,Sion,,,,,,
604,1968,Mont-Noble,,,,,,
605,1969,Saint-Martin (VS),,,,,,
606,1971,"Grimisuat, Sion",,,,,,
607,1972,"Ayent, Arbaz",,,,,,
608,1973,Mont-Noble,,,,,,
609,1974,Arbaz,,,,,,
610,1975,Conthey,,,,,,
611,1976,Conthey,,,,,,
612,1977,Icogne,,,,,,
613,1978,"Icogne, Lens",,,,2.0,0.001358695652173913,1.358695652173913
614,1981,Vex,,,,,,
615,1982,"Hérémence, Saint-Martin (VS)",,,,,,
616,1983,Evolène,,,,1.0,0.0012033694344163659,1.203369434416366
617,1984,Evolène,,,,,,
618,1985,Evolène,,,,1.0,0.0031847133757961785,3.1847133757961785
619,1986,Evolène,,,,,,
620,1987,Hérémence,,,,,,
621,1988,Vex,,,,,,
622,1991,"Sion, Veysonnaz",,,,,,
623,1992,"Les Agettes, Vex, Sion",,,,,,
624,1993,"Nendaz, Sion, Veysonnaz",,,,,,
625,1994,"Nendaz, Sion",,,,,,
626,1996,Nendaz,,,,,,
627,1997,Nendaz,,,,1.0,0.0003837298541826554,0.3837298541826554
628,2000,"Milvignes, Neuchâtel",2.0,5.964807634953773e-05,0.05964807634953773,7.0,0.00020876826722338206,0.20876826722338207
629,2012,Milvignes,,,,,,
630,2013,"Boudry, Milvignes",,,,2.0,0.0003578457684737878,0.3578457684737878
631,2014,"Boudry, Milvignes",,,,1.0,0.0005461496450027307,0.5461496450027307
632,2015,Boudry,,,,,,
633,2016,Cortaillod,,,,1.0,0.0002101281781886951,0.21012817818869511
634,2017,Boudry,,,,3.0,0.0006357279084551812,0.6357279084551812
635,2019,"Boudry, Rochefort",,,,,,
636,2022,Bevaix,,,,,,
637,2023,Gorgier,,,,,,
638,2024,Saint-Aubin-Sauges,,,,,,
639,2025,Gorgier,,,,,,
640,2027,"Fresens, Montalchez, Saint-Aubin-Sauges",,,,,,
641,2028,"Concise, Saint-Aubin-Sauges, Vaumarcus",,,,,,
642,2034,Peseux,,,,,,
643,2035,"Corcelles-Cormondrèche, Rochefort, Milvignes",,,,,,
644,2036,"Corcelles-Cormondrèche, Milvignes",,,,,,
645,2037,"Corcelles-Cormondrèche, Rochefort, Val-de-Ruz",,,,2.0,0.002002002002002002,2.002002002002002
646,2042,"Valangin, Val-de-Ruz",,,,,,
647,2043,Val-de-Ruz,,,,,,
648,2046,Val-de-Ruz,,,,,,
649,2052,Val-de-Ruz,1.0,0.0005892751915144372,0.5892751915144372,1.0,0.0005892751915144372,0.5892751915144372
650,2053,Val-de-Ruz,,,,1.0,0.00038819875776397513,0.3881987577639751
651,2054,Val-de-Ruz,,,,,,
652,2056,Val-de-Ruz,,,,,,
653,2057,Val-de-Ruz,,,,2.0,0.0038910505836575876,3.8910505836575875
654,2058,Val-de-Ruz,,,,,,
655,2063,Val-de-Ruz,,,,,,
656,2065,Val-de-Ruz,,,,,,
657,2067,"Enges, Neuchâtel, Val-de-Ruz",,,,,,
658,2068,Hauterive (NE),,,,,,
659,2072,"Cornaux, Cressier (NE), Saint-Blaise",7.0,0.0021361000915471468,2.1361000915471466,,,
660,2073,"Enges, Le Landeron",,,,1.0,0.0035971223021582736,3.5971223021582737
661,2074,La Tène,,,,1.0,0.0002442598925256473,0.24425989252564728
662,2075,"Cornaux, La Tène",,,,,,
663,2087,"Cornaux, Cressier (NE)",,,,2.0,0.0012634238787113076,1.2634238787113075
664,2088,Cressier (NE),4.0,0.002097535395909806,2.097535395909806,2.0,0.001048767697954903,1.048767697954903
665,2103,"Gorgier, Rochefort, Val-de-Travers",,,,,,
666,2105,Val-de-Travers,,,,1.0,0.0008525149190110827,0.8525149190110827
667,2108,"Provence, Val-de-Travers",,,,4.0,0.0014336917562724014,1.4336917562724014
668,2112,Val-de-Travers,,,,,,
669,2113,Val-de-Travers,,,,,,
670,2114,Val-de-Travers,,,,6.0,0.0016896648831315122,1.6896648831315122
671,2115,Val-de-Travers,,,,,,
672,2116,Val-de-Travers,,,,,,
673,2117,La Côte-aux-Fées,,,,,,
674,2123,Val-de-Travers,,,,,,
675,2124,"La Brévine, Val-de-Travers",,,,,,
676,2126,"Les Verrières, Val-de-Travers",,,,,,
677,2127,Val-de-Travers,,,,,,
678,2149,"Boudry, Rochefort",,,,,,
679,2206,Val-de-Ruz,,,,,,
680,2207,Val-de-Ruz,,,,,,
681,2208,Val-de-Ruz,,,,,,
682,2300,La Chaux-de-Fonds,,,,5.0,0.0001291188926763764,0.1291188926763764
683,2314,"La Chaux-de-Fonds, La Sagne",,,,,,
684,2316,Les Ponts-de-Martel,,,,,,
685,2318,"Rochefort, Brot-Plamboz, Val-de-Travers",,,,,,
686,2322,"La Chaux-de-Fonds, Le Locle",,,,1.0,0.0033003300330033004,3.3003300330033003
687,2325,Les Planchettes,,,,,,
688,2333,"La Ferrière, Sonvilier",,,,,,
689,2336,"Les Bois, Le Noirmont",,,,,,
690,2338,Muriaux,,,,,,
691,2340,Le Noirmont,,,,,,
692,2345,"Saint-Imier, Sonvilier, Villeret, Les Breuleux, La Chaux-des-Breuleux, Muriaux, Le Noirmont",,,,3.0,0.0016891891891891893,1.6891891891891893
693,2350,Saignelégier,,,,1.0,0.0004452359750667854,0.44523597506678536
694,2353,"Les Enfers, Saignelégier",,,,,,
695,2354,Saignelégier,,,,,,
696,2360,Le Bémont (JU),,,,,,
697,2362,Montfaucon,,,,,,
698,2363,"Le Bémont (JU), Les Enfers",,,,,,
699,2364,Saint-Brais,,,,,,
700,2400,"Les Brenets, Le Cerneux-Péquignot, La Chaux-du-Milieu, Le Locle",,,,2.0,0.00019109497420217848,0.19109497420217847
701,2405,"Le Cerneux-Péquignot, La Chaux-du-Milieu",,,,,,
702,2406,"La Brévine, Le Cerneux-Péquignot, La Chaux-du-Milieu, Les Verrières, Val-de-Travers",,,,,,
703,2414,Le Cerneux-Péquignot,,,,,,
704,2416,Les Brenets,,,,,,
705,2500,,2.0,0.005405405405405406,5.405405405405405,,,
706,2502,Biel/Bienne,10.0,0.0005715265474081271,0.5715265474081271,10.0,0.0005715265474081271,0.5715265474081271
707,2503,"Biel/Bienne, Brügg",7.0,0.0003958156629912355,0.39581566299123555,11.0,0.0006219960418433701,0.6219960418433701
708,2504,"Biel/Bienne, Brügg, Orpund",6.0,0.0003459210147016431,0.3459210147016431,12.0,0.0006918420294032863,0.6918420294032862
709,2505,"Biel/Bienne, Twann-Tüscherz",,,,,,
710,2512,Twann-Tüscherz,2.0,0.006802721088435374,6.802721088435374,,,
711,2513,"Ligerz, Twann-Tüscherz",1.0,0.0012121212121212121,1.2121212121212122,,,
712,2514,"La Neuveville, Ligerz",,,,,,
713,2515,Plateau de Diesse,,,,1.0,0.001092896174863388,1.092896174863388
714,2516,"Plateau de Diesse, Twann-Tüscherz",,,,,,
715,2517,Plateau de Diesse,,,,,,
716,2518,"Nods, Val-de-Ruz",,,,1.0,0.0013869625520110957,1.3869625520110958
717,2520,"La Neuveville, Le Landeron",2.0,0.0005574136008918618,0.5574136008918618,,,
718,2523,"La Neuveville, Nods, Plateau de Diesse, Le Landeron, Lignières, Val-de-Ruz",,,,2.0,0.0019743336623889436,1.9743336623889436
719,2525,"Gals, Le Landeron",,,,4.0,0.0008974646623289208,0.8974646623289209
720,2532,"Biel/Bienne, Evilard, Twann-Tüscherz",6.0,0.01060070671378092,10.60070671378092,,,
721,2533,Evilard,4.0,0.002048131080389145,2.048131080389145,,,
722,2534,"Corgémont, Orvin, Nods",,,,1.0,0.0008285004142502071,0.828500414250207
723,2535,"Sauge, Péry-La Heutte",,,,,,
724,2536,"Romont (BE), Sauge",,,,,,
725,2537,Sauge,,,,,,
726,2538,Romont (BE),,,,,,
727,2540,Grenchen,14.0,0.0008495145631067961,0.8495145631067961,18.0,0.001092233009708738,1.0922330097087378
728,2542,Pieterlen,7.0,0.0017627801561319568,1.7627801561319567,6.0,0.0015109544195416771,1.510954419541677
729,2543,Lengnau (BE),16.0,0.0033003300330033004,3.3003300330033003,11.0,0.002268976897689769,2.268976897689769
730,2544,Bettlach,4.0,0.0008238928939237899,0.82389289392379,4.0,0.0008238928939237899,0.82389289392379
731,2545,Selzach,2.0,0.0006213109661385523,0.6213109661385523,10.0,0.0031065548306927616,3.1065548306927617
732,2552,"Brügg, Orpund",8.0,0.0030534351145038168,3.0534351145038165,3.0,0.0011450381679389313,1.1450381679389314
733,2553,Safnern,1.0,0.0005232862375719519,0.5232862375719519,1.0,0.0005232862375719519,0.5232862375719519
734,2554,Meinisberg,5.0,0.0037257824143070045,3.7257824143070044,2.0,0.0014903129657228018,1.4903129657228018
735,2555,Brügg,2.0,0.000474158368895211,0.474158368895211,7.0,0.0016595542911332385,1.6595542911332386
736,2556,"Scheuren, Schwadernau",4.0,0.0035650623885918,3.5650623885918002,3.0,0.00267379679144385,2.6737967914438503
737,2557,"Lyss, Studen (BE)",7.0,0.002246469833119384,2.246469833119384,15.0,0.004813863928112966,4.813863928112966
738,2558,"Aegerten, Schwadernau",3.0,0.0015991471215351812,1.5991471215351811,6.0,0.0031982942430703624,3.1982942430703623
739,2560,"Nidau, Port",17.0,0.0023624235686492494,2.3624235686492496,2.0,0.00027793218454697053,0.27793218454697055
740,2562,"Bellmund, Port",3.0,0.0009436929852154766,0.9436929852154766,2.0,0.0006291286568103177,0.6291286568103177
741,2563,"Bellmund, Ipsach",6.0,0.0014925373134328358,1.492537313432836,4.0,0.0009950248756218905,0.9950248756218905
742,2564,Bellmund,6.0,0.004034969737726967,4.034969737726968,5.0,0.0033624747814391394,3.3624747814391394
743,2565,Jens,3.0,0.004411764705882353,4.411764705882353,,,
744,2572,"Mörigen, Sutz-Lattrigen",2.0,0.0008865248226950354,0.8865248226950354,13.0,0.00576241134751773,5.76241134751773
745,2575,"Lüscherz, Hagneck, Täuffelen",15.0,0.004835589941972921,4.835589941972921,4.0,0.0012894906511927789,1.2894906511927788
746,2576,"Lüscherz, Vinelz",1.0,0.0019157088122605363,1.9157088122605364,2.0,0.0038314176245210726,3.8314176245210727
747,2577,"Finsterhennen, Siselen",14.0,0.012589928057553957,12.589928057553957,10.0,0.008992805755395683,8.992805755395683
748,2603,"Romont (BE), Péry-La Heutte",,,,7.0,0.005054151624548736,5.054151624548736
749,2604,Péry-La Heutte,,,,,,
750,2605,Sonceboz-Sombeval,,,,3.0,0.001594896331738437,1.594896331738437
751,2606,"Corgémont, Sonceboz-Sombeval",,,,1.0,0.0006313131313131314,0.6313131313131314
752,2607,Cortébert,,,,2.0,0.002932551319648094,2.932551319648094
753,2608,"Corgémont, Cortébert, Courtelary",,,,3.0,0.0021945866861741038,2.194586686174104
754,2610,"Cormoret, Courtelary, Saint-Imier, Sonvilier, Villeret",12.0,0.0022931396904261416,2.2931396904261416,9.0,0.0017198547678196063,1.7198547678196063
755,2612,Cormoret,,,,,,
756,2613,"Cormoret, Villeret",,,,,,
757,2615,Sonvilier,,,,2.0,0.0019286403085824494,1.9286403085824495
758,2616,"Renan (BE), Val-de-Ruz",,,,2.0,0.002333722287047841,2.333722287047841
759,2710,"Reconvilier, Tavannes",3.0,0.0008448324415657561,0.8448324415657561,4.0,0.001126443255421008,1.1264432554210082
760,2712,"Saicourt, Petit-Val",,,,1.0,0.0029498525073746312,2.949852507374631
761,2713,Saicourt,,,,,,
762,2714,Les Genevez (JU),,,,,,
763,2715,Petit-Val,,,,1.0,0.015625,15.625
764,2716,Petit-Val,,,,,,
765,2717,"Rebévelier, Petit-Val",,,,,,
766,2718,"Saulcy, Lajoux (JU), Montfaucon",,,,,,
767,2720,"Corgémont, Sonceboz-Sombeval, Tramelan, Saicourt, Tavannes",5.0,0.0012330456226880395,1.2330456226880395,18.0,0.0044389642416769425,4.438964241676943
768,2722,Tramelan,1.0,0.0022172949002217295,2.2172949002217295,4.0,0.008869179600886918,8.869179600886918
769,2723,"Cortébert, Courtelary, Mont-Tramelan, Tramelan",1.0,0.008333333333333333,8.333333333333334,4.0,0.03333333333333333,33.333333333333336
770,2732,"Péry-La Heutte, Loveresse, Reconvilier, Saicourt, Saules (BE)",,,,8.0,0.0027072758037225042,2.707275803722504
771,2733,Valbirse,,,,,,
772,2735,"Péry-La Heutte, Champoz, Court, Valbirse",1.0,0.00025627883136852895,0.25627883136852897,7.0,0.0017939518195797027,1.7939518195797026
773,2736,Sorvilier,,,,,,
774,2738,Court,,,,7.0,0.004912280701754386,4.912280701754386
775,2740,"Moutier, Perrefitte, Roches (BE)",3.0,0.00039267015706806284,0.39267015706806285,10.0,0.0013089005235602095,1.3089005235602096
776,2742,Perrefitte,,,,2.0,0.004728132387706856,4.7281323877068555
777,2743,Eschert,,,,1.0,0.002785515320334262,2.785515320334262
778,2744,Belprahon,,,,,,
779,2745,Grandval,,,,1.0,0.002680965147453083,2.680965147453083
780,2746,Crémines,,,,2.0,0.0037243947858473,3.7243947858473
781,2747,"Corcelles (BE), Crémines, Seehof, Aedermannsdorf",,,,,,
782,2748,"Perrefitte, Petit-Val, Haute-Sorne",,,,1.0,0.006535947712418301,6.5359477124183005
783,2762,Roches (BE),,,,,,
784,2800,"Courrendlin, Delémont",,,,1.0,8.010253123998718e-05,0.08010253123998719
785,2802,Develier,,,,,,
786,2803,"Bourrignon, Pleigne",,,,,,
787,2805,Soyhières,,,,,,
788,2806,"Mettembert, Pleigne",,,,,,
789,2807,"Pleigne, La Baroche",,,,,,
790,2812,Movelier,,,,,,
791,2813,"Ederswiler, Movelier, Pleigne",,,,,,
792,2814,"Kleinlützel, Roggenburg, Pleigne",,,,6.0,0.020338983050847456,20.338983050847457
793,2822,Courroux,,,,,,
794,2823,Courroux,,,,,,
795,2824,Val Terbi,,,,,,
796,2825,Courchapoix,,,,,,
797,2826,Corban,,,,,,
798,2827,"Schelten, Beinwil (SO), Mervelier",,,,,,
799,2828,Val Terbi,,,,,,
800,2829,Val Terbi,,,,1.0,0.0029940119760479044,2.9940119760479043
801,2830,"Courrendlin, Vellerat",,,,,,
802,2832,"Rebeuvelier, Val Terbi",,,,,,
803,2842,Rossemaison,,,,,,
804,2843,Châtillon (JU),,,,,,
805,2852,"Courtételle, Delémont",,,,,,
806,2853,Haute-Sorne,,,,,,
807,2854,Haute-Sorne,1.0,0.00027731558513588466,0.27731558513588467,,,
808,2855,Haute-Sorne,,,,1.0,0.0008613264427217916,0.8613264427217916
809,2856,Boécourt,,,,,,
810,2857,Boécourt,,,,,,
811,2863,Haute-Sorne,,,,1.0,0.0036231884057971015,3.6231884057971016
812,2864,Haute-Sorne,,,,,,
813,2873,"Saulcy, Saint-Brais",,,,,,
814,2882,"Saint-Brais, Clos du Doubs",,,,1.0,0.0014245014245014246,1.4245014245014245
815,2883,"Boécourt, Saint-Brais, Clos du Doubs, La Baroche",,,,,,
816,2884,Clos du Doubs,,,,,,
817,2885,Clos du Doubs,,,,,,
818,2886,"Saint-Brais, Clos du Doubs",,,,,,
819,2887,Soubey,,,,,,
820,2888,Clos du Doubs,,,,,,
821,2889,"Fontenais, Clos du Doubs",,,,,,
822,2900,Porrentruy,1.0,0.00014710208884966165,0.14710208884966164,,,
823,2902,Fontenais,,,,,,
824,2903,Fontenais,,,,,,
825,2904,Fontenais,,,,,,
826,2905,Courtedoux,,,,,,
827,2906,Haute-Ajoie,,,,,,
828,2907,Rocourt,,,,,,
829,2908,Grandfontaine,,,,,,
830,2912,Haute-Ajoie,,,,,,
831,2914,Haute-Ajoie,,,,,,
832,2915,"Bure, Basse-Allaine",,,,,,
833,2916,"Fahy, Haute-Ajoie",,,,,,
834,2922,Courchavon,,,,,,
835,2923,Basse-Allaine,,,,,,
836,2924,Basse-Allaine,,,,,,
837,2925,Basse-Allaine,,,,,,
838,2926,Boncourt,,,,,,
839,2932,Coeuve,,,,,,
840,2933,"Damphreux, Lugnez",,,,,,
841,2935,Beurnevésin,,,,,,
842,2942,Alle,,,,,,
843,2943,Vendlincourt,,,,,,
844,2944,Bonfol,,,,,,
845,2946,La Baroche,,,,,,
846,2947,La Baroche,,,,,,
847,2950,Courgenay,,,,,,
848,2952,"Cornol, Courgenay",,,,,,
849,2953,La Baroche,,,,,,
850,2954,La Baroche,,,,,,
851,3000,,208.0,0.3195084485407066,319.5084485407066,8.0,0.01228878648233487,12.288786482334869
852,3004,Bern,76.0,0.022041763341067284,22.041763341067284,24.0,0.0069605568445475635,6.960556844547564
853,3005,Bern,91.0,0.019938650306748466,19.938650306748464,98.0,0.02147239263803681,21.472392638036812
854,3006,Bern,323.0,0.0177863436123348,17.7863436123348,155.0,0.008535242290748899,8.535242290748899
855,3007,"Bern, Köniz",394.0,0.025775219154782154,25.775219154782153,127.0,0.008308255920450085,8.308255920450085
856,3008,Bern,149.0,0.015036835200322939,15.036835200322939,89.0,0.008981733777374105,8.981733777374105
857,3010,Bern,1.0,0.023255813953488372,23.25581395348837,1.0,0.023255813953488372,23.25581395348837
858,3011,Bern,161.0,0.03485602944360251,34.856029443602516,72.0,0.015587789564840875,15.587789564840875
859,3012,Bern,233.0,0.01729384695316559,17.29384695316559,76.0,0.005640911452534699,5.6409114525346995
860,3013,Bern,358.0,0.03484863233719459,34.84863233719459,74.0,0.00720334858366592,7.20334858366592
861,3014,Bern,829.0,0.06077267062532073,60.77267062532073,191.0,0.014001906018620336,14.001906018620335
862,3015,Bern,26.0,0.00941346850108617,9.41346850108617,20.0,0.00724112961622013,7.24112961622013
863,3018,Bern,188.0,0.010671510472838736,10.671510472838735,165.0,0.009365953340523358,9.365953340523358
864,3019,Bern,9.0,0.010368663594470046,10.368663594470046,15.0,0.01728110599078341,17.281105990783413
865,3020,"Bern, Frauenkappelen",5.0,0.00992063492063492,9.920634920634921,9.0,0.017857142857142856,17.857142857142858
866,3027,Bern,137.0,0.010213971520167002,10.213971520167002,117.0,0.008722880787295906,8.722880787295907
867,3032,"Bern, Wohlen bei Bern",60.0,0.01310329766324525,13.10329766324525,47.0,0.010264249836208779,10.264249836208778
868,3033,"Wohlen bei Bern, Frauenkappelen",29.0,0.01828499369482976,18.28499369482976,17.0,0.010718789407313998,10.718789407313999
869,3034,Wohlen bei Bern,1.0,0.0038314176245210726,3.8314176245210727,7.0,0.02681992337164751,26.819923371647512
870,3035,"Seedorf (BE), Wohlen bei Bern",2.0,0.008130081300813009,8.130081300813009,3.0,0.012195121951219513,12.195121951219512
871,3036,"Radelfingen, Wohlen bei Bern",5.0,0.0056433408577878106,5.643340857787811,16.0,0.01805869074492099,18.05869074492099
872,3037,"Bern, Kirchlindach, Wohlen bei Bern",16.0,0.009894867037724181,9.89486703772418,17.0,0.010513296227581941,10.513296227581941
873,3038,Kirchlindach,19.0,0.013960323291697281,13.96032329169728,23.0,0.01689933872152829,16.899338721528288
874,3042,"Meikirch, Kirchlindach, Wohlen bei Bern",9.0,0.012534818941504178,12.534818941504177,12.0,0.016713091922005572,16.71309192200557
875,3043,Wohlen bei Bern,21.0,0.0136986301369863,13.698630136986301,24.0,0.015655577299412915,15.655577299412915
876,3044,Wohlen bei Bern,2.0,0.0030816640986132513,3.0816640986132513,15.0,0.023112480739599383,23.112480739599384
877,3045,"Meikirch, Wohlen bei Bern",16.0,0.0129136400322841,12.9136400322841,15.0,0.012106537530266344,12.106537530266344
878,3046,Meikirch,4.0,0.008097165991902834,8.097165991902834,3.0,0.006072874493927126,6.0728744939271255
879,3047,Bremgarten bei Bern,78.0,0.01791867677463818,17.918676774638183,42.0,0.009648518263266712,9.648518263266713
880,3048,"Bern, Ittigen",35.0,0.020420070011668612,20.420070011668614,30.0,0.01750291715285881,17.50291715285881
881,3049,Wohlen bei Bern,3.0,0.0058823529411764705,5.88235294117647,14.0,0.027450980392156862,27.45098039215686
882,3052,"Zollikofen, Münchenbuchsee",186.0,0.016668160229411238,16.66816022941124,146.0,0.013083609642441079,13.083609642441079
883,3053,"Rapperswil (BE), Schüpfen, Deisswil b. Münchenbuch., Diemerswil, Moosseedorf, Münchenbuchsee, Wiggiswil",185.0,0.018993839835728953,18.993839835728952,157.0,0.016119096509240247,16.119096509240247
884,3054,Schüpfen,60.0,0.016375545851528384,16.375545851528383,85.0,0.023198689956331876,23.198689956331876
885,3063,"Bern, Ittigen, Ostermundigen",172.0,0.017615731257681278,17.61573125768128,136.0,0.013928717738631708,13.928717738631708
886,3065,"Bolligen, Ostermundigen",92.0,0.015659574468085108,15.659574468085108,66.0,0.011234042553191489,11.23404255319149
887,3066,"Bolligen, Stettlen, Vechigen, Ostermundigen",62.0,0.019290603609209707,19.290603609209708,55.0,0.017112632233976355,17.112632233976356
888,3067,"Stettlen, Vechigen",49.0,0.01436950146627566,14.36950146627566,57.0,0.016715542521994135,16.715542521994134
889,3068,"Vechigen, Walkringen, Worb",19.0,0.011867582760774516,11.867582760774516,23.0,0.014366021236727046,14.366021236727045
890,3072,"Bern, Ostermundigen",249.0,0.014926267833593094,14.926267833593094,249.0,0.014926267833593094,14.926267833593094
891,3073,"Bern, Muri bei Bern, Ostermundigen",149.0,0.021976401179941003,21.976401179941004,116.0,0.01710914454277286,17.10914454277286
892,3074,Muri bei Bern,83.0,0.01340655790663867,13.40655790663867,64.0,0.010337586819576805,10.337586819576805
893,3075,Worb,52.0,0.01325516186591894,13.255161865918941,41.0,0.010451185317359163,10.451185317359164
894,3076,"Muri bei Bern, Stettlen, Vechigen, Worb",76.0,0.01150991973345449,11.50991973345449,91.0,0.01378161441768893,13.78161441768893
895,3077,Worb,,,,6.0,0.0160857908847185,16.0857908847185
896,3078,Worb,2.0,0.004987531172069825,4.987531172069826,8.0,0.0199501246882793,19.950124688279303
897,3082,"Schlosswil, Worb",4.0,0.0050568900126422255,5.056890012642225,10.0,0.012642225031605562,12.642225031605562
898,3083,Münsingen,4.0,0.0074211502782931356,7.421150278293135,6.0,0.011131725417439703,11.131725417439704
899,3084,"Bern, Köniz",132.0,0.01847445766270119,18.474457662701187,74.0,0.010356892932120365,10.356892932120365
900,3086,"Oberbalm, Belp, Niedermuhlern, Wald (BE)",7.0,0.005942275042444821,5.942275042444821,22.0,0.01867572156196944,18.67572156196944
901,3087,"Niedermuhlern, Rüeggisberg, Wald (BE)",5.0,0.009523809523809525,9.523809523809526,12.0,0.022857142857142857,22.857142857142858
902,3088,Rüeggisberg,4.0,0.003898635477582846,3.898635477582846,13.0,0.012670565302144249,12.670565302144249
903,3089,Rüeggisberg,4.0,0.013157894736842105,13.157894736842104,3.0,0.009868421052631578,9.868421052631579
904,3095,Köniz,31.0,0.00970266040688576,9.702660406885759,18.0,0.005633802816901409,5.633802816901409
905,3096,"Oberbalm, Wald (BE)",7.0,0.007891770011273957,7.891770011273957,20.0,0.02254791431792559,22.547914317925592
906,3097,"Bern, Köniz",152.0,0.018258258258258258,18.25825825825826,71.0,0.008528528528528529,8.528528528528529
