,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000
124,1195,"Bursinel, Dully, Gilly",,,,,,
125,1196,"Coinsins, Gland, Prangins",,,,,,
126,1197,Prangins,,,,,,
127,1200,,,,,,,
128,1201,Genève,,,,,,
129,1202,"Genève, Le Grand-Saconnex, Pregny-Chambésy",,,,,,
130,1203,Genève,,,,,,
131,1204,Genève,,,,,,
132,1205,Genève,,,,,,
133,1206,Genève,,,,,,
134,1207,"Cologny, Genève",,,,,,
135,1208,Genève,,,,,,
136,1209,"Genève, Le Grand-Saconnex, Vernier",,,,,,
137,1212,"Carouge (GE), Lancy, Onex, Plan-les-Ouates",,,,,,
138,1213,"Genève, Lancy, Onex",,,,,,
139,1214,"Meyrin, Satigny, Vernier",,,,,,
140,1215,"Le Grand-Saconnex, Meyrin",,,,,,
141,1216,"Le Grand-Saconnex, Meyrin, Vernier",,,,,,
142,1217,"Meyrin, Satigny",,,,,,
143,1218,"Genève, Le Grand-Saconnex",,,,,,
144,1219,Vernier,,,,,,
145,1220,Vernier,,,,,,
146,1222,"Choulex, Collonge-Bellerive, Cologny, Corsier (GE), Meinier",,,,,,
147,1223,"Cologny, Vandoeuvres",,,,,,
148,1224,"Chêne-Bougeries, Thônex",,,,,,
149,1225,"Chêne-Bourg, Thônex",,,,,,
150,1226,"Chêne-Bourg, Thônex",,,,,,
151,1227,"Carouge (GE), Genève, Lancy",,,,2.0,7.795447458684128e-05,0.07795447458684128
152,1228,"Confignon, Lancy, Plan-les-Ouates",,,,,,
153,1231,"Chêne-Bougeries, Genève, Thônex",,,,,,
154,1232,"Bernex, Confignon",,,,,,
155,1233,Bernex,,,,,,
156,1234,Veyrier,,,,,,
157,1236,"Avusy, Bernex, Cartigny, Laconnex",,,,,,
158,1237,"Avully, Chancy",,,,,,
159,1239,Collex-Bossy,,,,,,
160,1241,"Presinge, Puplinge",,,,,,
161,1242,Satigny,34.0,0.008856473039854129,8.856473039854128,,,
162,1243,Presinge,,,,,,
163,1244,"Choulex, Meinier, Presinge",,,,,,
164,1245,Collonge-Bellerive,,,,,,
165,1246,"Collonge-Bellerive, Corsier (GE)",,,,,,
166,1247,Anières,,,,,,
167,1248,"Anières, Hermance",,,,,,
168,1251,"Anières, Corsier (GE), Gy, Meinier",,,,,,
169,1252,Meinier,,,,,,
170,1253,"Chêne-Bougeries, Cologny, Vandoeuvres",,,,,,
171,1254,"Gy, Jussy, Meinier, Presinge",,,,,,
172,1255,"Troinex, Veyrier",,,,,,
173,1256,"Lancy, Plan-les-Ouates, Troinex, Veyrier",,,,,,
174,1257,"Bardonnex, Plan-les-Ouates, Troinex",,,,,,
175,1258,"Bardonnex, Perly-Certoux",,,,,,
176,1260,"Nyon, Prangins",1.0,5.06636943965954e-05,0.0506636943965954,1.0,5.06636943965954e-05,0.0506636943965954
177,1261,"Longirod, Marchissy, Le Vaud",,,,,,
178,1262,Eysins,,,,,,
179,1263,Crassier,,,,,,
180,1264,"Arzier-Le Muids, Saint-Cergue",,,,,,
181,1265,Saint-Cergue,,,,,,
182,1266,Duillier,,,,,,
183,1267,"Coinsins, Vich",,,,,,
184,1268,"Begnins, Bursins, Burtigny, Vinzel",,,,,,
185,1269,Bassins,,,,1.0,0.0007552870090634441,0.7552870090634441
186,1270,Trélex,,,,,,
187,1271,Givrins,,,,,,
188,1272,"Genolier, Givrins",,,,,,
189,1273,Arzier-Le Muids,,,,,,
190,1274,"Grens, Signy-Avenex, Trélex",,,,,,
191,1275,"Chéserex, La Rippe",,,,,,
192,1276,"Chéserex, Gingins, Saint-Cergue",,,,,,
193,1277,"Arnex-sur-Nyon, Borex",,,,,,
194,1278,La Rippe,,,,,,
195,1279,"Bogis-Bossey, Chavannes-de-Bogis",,,,,,
196,1281,"Russin, Satigny",,,,,,
197,1283,Dardagny,,,,,,
198,1284,Chancy,,,,,,
199,1285,"Avusy, Chancy",,,,,,
200,1286,"Bernex, Soral",,,,,,
201,1287,Laconnex,,,,,,
202,1288,Aire-la-Ville,,,,,,
203,1290,"Chavannes-des-Bois, Mies, Collex-Bossy, Genthod, Versoix",,,,,,
204,1291,Commugny,,,,,,
205,1292,"Genève, Pregny-Chambésy",,,,,,
206,1293,"Bellevue, Genthod",,,,,,
207,1294,"Bellevue, Genthod",,,,,,
208,1295,"Mies, Tannay",,,,,,
209,1296,"Commugny, Coppet",,,,,,
210,1297,"Commugny, Coppet, Founex",,,,,,
211,1298,Céligny,,,,,,
212,1299,Crans-près-Céligny,,,,,,
213,1302,Vufflens-la-Ville,,,,,,
214,1303,Penthaz,,,,,,
215,1304,"Cossonay, Dizy, Senarclens",,,,,,
216,1305,Penthalaz,,,,,,
217,1306,"Bettens, Daillens",,,,,,
218,1307,Lussery-Villars,,,,,,
219,1308,La Chaux (Cossonay),,,,,,
220,1312,Eclépens,,,,,,
221,1313,Ferreyres,,,,,,
222,1315,La Sarraz,,,,,,
223,1316,"La Chaux (Cossonay), Chevilly",,,,,,
224,1317,Orny,,,,,,
225,1318,Pompaples,,,,,,
226,1321,Arnex-sur-Orbe,,,,,,
227,1322,Croy,,,,,,
228,1323,Romainmôtier-Envy,,,,,,
229,1324,Premier,,,,,,
230,1325,"Mont-la-Ville, Vaulion",,,,,,
231,1326,Juriens,,,,,,
232,1329,Bretonnières,,,,,,
233,1337,Vallorbe,,,,2.0,0.0005583472920156337,0.5583472920156337
234,1338,Ballaigues,,,,,,
235,1341,Le Chenit,,,,,,
236,1342,L'Abbaye,,,,,,
237,1343,Le Lieu,,,,,,
238,1344,L'Abbaye,,,,,,
239,1345,Le Lieu,,,,,,
240,1346,L'Abbaye,,,,,,
241,1347,Le Chenit,,,,,,
242,1348,Le Chenit,,,,,,
243,1350,Orbe,,,,3.0,0.00044137119317345886,0.44137119317345885
244,1352,Agiez,,,,,,
245,1353,Bofflens,,,,,,
246,1354,Montcherand,,,,,,
247,1355,"L'Abergement, Sergey",,,,,,
248,1356,Les Clées,,,,,,
249,1357,Lignerolle,,,,,,
250,1358,Valeyres-sous-Rances,,,,,,
251,1372,"Orny, Bavois",,,,,,
252,1373,Chavornay,,,,1.0,0.00024709661477637757,0.24709661477637757
253,1374,Corcelles-sur-Chavornay,,,,,,
254,1375,Penthéréaz,,,,,,
255,1376,Goumoëns,,,,,,
256,1377,Oulens-sous-Echallens,,,,,,
