diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"01.05.2009";"Bern";"Wangen";"Thörigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Aarwangen";"Auswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Wangen";"Seeberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Signau";"Lauperswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Trachselwald";"Lützelflüh";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Konolfingen";"Schlosswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Trachselwald";"Lützelflüh";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Konolfingen";"Landiswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Konolfingen";"Worb";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Laupen";"Golaten";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
