diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"03.07.2008";"Bern";"Obersimmental";"Lenk";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"02.07.2008";"Bern";"Schwarzenburg";"Guggisberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"29.06.2008";"Bern";"Schwarzenburg";"Rüschegg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"23.06.2008";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"26.05.2008";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"26.05.2008";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"30.06.2008";"Bern";"Seftigen";"Belp";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"30.06.2008";"Bern";"Seftigen";"Belp";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"27.06.2008";"Bern";"Seftigen";"Kirchdorf (BE)";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"04.04.2008";"Bern";"Seftigen";"Mühledorf (BE)";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"04.07.2008";"Bern";"Trachselwald";"Eriswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"03.07.2008";"Bern";"Trachselwald";"Sumiswald";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";2;0
"11.07.2008";"Bern";"Trachselwald";"Lützelflüh";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";0;0
"15.07.2008";"Bern";"Bern";"Bern";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";2;0
"22.07.2008";"Bern";"Bern";"Köniz";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";2;0
"26.07.2008";"Bern";"Trachselwald";"Sumiswald";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";2;0
"26.07.2008";"Bern";"Trachselwald";"Sumiswald";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"24.07.2008";"Bern";"Seftigen";"Rüeggisberg";"Zu überwachende Seuchen";"Bösartiges Katarrhalfieber (2009 aus TSV gestrichen)";"Hirsch";"";0;0
"25.07.2008";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Pseudotuberkulose der Schafe und Ziegen";"Ziege";"";0;0
"20.09.2008";"Bern";"Frutigen";"Aeschi bei Spiez";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"20.09.2008";"Bern";"Thun (bis 2010)";"Fahrni";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"20.09.2008";"Bern";"Thun (bis 2010)";"Wachseldorn";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"04.09.2008";"Bern";"Seftigen";"Rüeggisberg";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";3;0
"16.06.2008";"Bern";"Burgdorf";"Wynigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"11.09.2008";"Bern";"Seftigen";"Seftigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"20.09.2008";"Bern";"Signau";"Rüderswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";10;0
"20.09.2008";"Bern";"Courtelary";"Saint-Imier";"Zu bekämpfende Seuchen";"Paratuberkulose";"Rind";"";1;0
"02.10.2008";"Bern";"Trachselwald";"Dürrenroth";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"09.10.2008";"Bern";"Wangen";"Herzogenbuchsee";"Zu bekämpfende Seuchen";"Blauzungenkrankheit (Bluetongue)";"Schaf";"";1;1
"07.10.2008";"Bern";"Aarberg";"Rapperswil (BE)";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"24.11.2008";"Bern";"Burgdorf";"Hasle bei Burgdorf";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"20.11.2008";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Pseudotuberkulose der Schafe und Ziegen";"Ziege";"";0;0
"20.11.2008";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Pseudotuberkulose der Schafe und Ziegen";"Ziege";"";0;0
"06.11.2008";"Bern";"Thun (bis 2010)";"Blumenstein";"Zu bekämpfende Seuchen";"Actinobacillose der Schweine";"Schwein";"";0;0
"04.11.2008";"Bern";"Bern";"Muri bei Bern";"Zu bekämpfende Seuchen";"Chlamydiose der Vögel";"Sittich";"";1;0
"31.10.2008";"Bern";"Burgdorf";"Hasle bei Burgdorf";"Zu überwachende Seuchen";"Maedi-Visna";"Schaf";"";1;0
"27.10.2008";"Bern";"Interlaken";"Brienzwiler";"Zu bekämpfende Seuchen";"Paratuberkulose";"Rind";"";1;0
