Country,StartTime,Work and study,Travel to/from work/study,Household work,Sleep and other personal care,Eating,Freetime,TV and video,Unspecified time
Lithuania,16:20,30.96,3.26,24.96,4.34,5.17,19.73,11.43,0.14
Lithuania,16:30,30.37,3.14,25.6,4.49,4.72,19.83,11.63,0.23
Lithuania,16:40,30.06,2.95,25.75,4.25,4.91,19.95,11.88,0.25
Lithuania,16:50,29.64,3.14,25.59,4.23,5.47,19.43,12.18,0.31
Lithuania,17:00,23.61,8.55,26.72,4.27,6.35,18.13,11.99,0.37
Lithuania,17:10,22.35,8.01,27.17,3.97,7.38,18.19,12.53,0.38
Lithuania,17:20,21.75,6.15,28.65,4.03,7.24,18.41,13.57,0.2
Lithuania,17:30,21.01,5.02,30.06,4.02,7.42,18.13,14.04,0.29
Lithuania,17:40,20.57,4.13,30.13,3.62,8.26,17.81,15.19,0.27
Lithuania,17:50,20.09,3.56,29.38,3.91,9.13,17.51,16.27,0.17
Lithuania,18:00,18.15,4.11,29.85,4.19,11.39,16.3,15.8,0.21
Lithuania,18:10,17.63,3.35,29.41,3.75,12.79,15.87,16.96,0.23
Lithuania,18:20,17.13,2.67,29.63,3.6,12.63,15.75,18.34,0.24
Lithuania,18:30,16.63,2.23,28.21,3.15,13.04,16.17,20.36,0.21
Lithuania,18:40,16.41,1.58,27.21,3.18,12.66,16.13,22.61,0.22
Lithuania,18:50,15.78,1.76,25.75,3.25,14.15,15.84,23.32,0.14
Lithuania,19:00,13.15,2.98,24.11,3.98,15.79,14.98,24.76,0.26
Lithuania,19:10,12.6,2.35,24.81,3.95,15.65,14.27,26.12,0.24
Lithuania,19:20,11.85,1.78,23.75,3.6,14.9,15.16,28.72,0.24
Lithuania,19:30,11.18,1.42,22.55,3.73,14.01,15.05,31.65,0.4
Lithuania,19:40,10.67,1.36,21.95,3.92,12.51,15.44,33.82,0.33
Lithuania,19:50,10.38,1.24,20.84,4.29,12.34,15.15,35.33,0.43
Lithuania,20:00,8.76,1.78,18.08,6.64,13.37,14.3,36.68,0.39
Lithuania,20:10,8.25,1.57,17.8,6.71,12.71,14.16,38.34,0.45
Lithuania,20:20,7.76,1.13,17.2,6.91,11.45,13.96,40.9,0.68
Lithuania,20:30,7.03,0.85,15.83,7.97,9.54,13.23,44.75,0.79
Lithuania,20:40,6.72,0.72,14.57,8.41,9.13,12.88,46.47,1.1
Lithuania,20:50,6.54,0.6,13.51,10.44,8.35,13.12,46.15,1.29
Lithuania,21:00,6.07,0.88,12.45,17.37,6.81,12.84,42.23,1.36
Lithuania,21:10,5.77,0.85,11.85,19.69,5.81,12.17,42.4,1.45
Lithuania,21:20,5.54,0.77,10.69,22.06,4.57,11.82,42.39,2.16
Lithuania,21:30,5.19,0.81,9.57,26.07,3.91,11.39,40.95,2.1
Lithuania,21:40,4.91,0.59,8.72,29.79,3.5,10.84,39.29,2.36
Lithuania,21:50,4.54,0.58,6.94,38.68,3.06,9.73,34.25,2.22
Lithuania,22:00,3.33,0.92,6.26,54.73,2.17,8.45,23.13,1
Lithuania,22:10,3.13,0.63,5.02,57.35,1.97,7.89,22.86,1.15
Lithuania,22:20,3.11,0.46,3.79,59.64,2.02,7.65,22.19,1.13
Lithuania,22:30,3.02,0.36,2.81,64.75,1.11,7.39,19.52,1.05
Lithuania,22:40,2.91,0.32,2.65,66.83,0.88,6.77,18.2,1.44
Lithuania,22:50,2.76,0.27,2.16,71.5,0.72,5.74,15.66,1.19
Lithuania,23:00,2.5,0.27,1.75,81.12,0.62,3.94,9.11,0.69
Lithuania,23:10,2.34,0.26,1.53,83.04,0.45,3.74,7.99,0.66
Lithuania,23:20,2.3,0.26,1.31,84.88,0.41,3.06,7.43,0.36
Lithuania,23:30,2.28,0.24,0.91,86.97,0.33,2.8,6.12,0.36
Lithuania,23:40,2.17,0.21,0.74,88.45,0.36,2.44,5.22,0.42
Lithuania,23:50,2.09,0.1,0.49,90.55,0.24,2.36,3.91,0.27
Lithuania,0:00,2,0.08,0.48,93.49,0.2,1.79,1.88,0.09
Lithuania,0:10,1.96,0.08,0.39,94.34,0.16,1.51,1.44,0.12
Lithuania,0:20,1.98,0.05,0.27,94.86,0.11,1.36,1.25,0.12
Lithuania,0:30,1.97,0.05,0.16,95.34,0.03,1.3,1.11,0.04
Lithuania,0:40,1.97,0,0.14,95.73,0.02,1.23,0.88,0.04
Lithuania,0:50,1.91,0.04,0.21,95.99,0.06,1.09,0.69,0.01
Lithuania,1:00,1.95,0.02,0.32,96.47,0.09,0.85,0.3,0.01
Lithuania,1:10,1.95,0.02,0.22,96.66,0.04,0.83,0.28,0.01
Lithuania,1:20,1.97,0.02,0.19,96.81,0.05,0.77,0.18,0.02
Lithuania,1:30,1.81,0.02,0.2,97.09,0.07,0.73,0.08,0.01
Lithuania,1:40,1.81,0,0.2,97.19,0.06,0.67,0.06,0.02
Lithuania,1:50,1.81,0,0.18,97.28,0.04,0.67,0.02,0
Lithuania,2:00,1.76,0,0.21,97.36,0.13,0.52,0.01,0
Lithuania,2:10,1.73,0.02,0.25,97.39,0.12,0.48,0.01,0
Lithuania,2:20,1.77,0.02,0.2,97.48,0.08,0.44,0.02,0
Lithuania,2:30,1.8,0.01,0.2,97.59,0.03,0.34,0.03,0
Lithuania,2:40,1.8,0.01,0.16,97.66,0.03,0.3,0.03,0
Lithuania,2:50,1.79,0.01,0.22,97.63,0.03,0.29,0.03,0
Lithuania,3:00,1.77,0.02,0.18,97.78,0.03,0.21,0.01,0
Lithuania,3:10,1.78,0.03,0.21,97.69,0.08,0.2,0.01,0
Lithuania,3:20,1.82,0.02,0.17,97.78,0.01,0.2,0.01,0
Lithuania,3:30,1.82,0.03,0.14,97.85,0,0.15,0.01,0
Lithuania,3:40,1.82,0,0.08,97.91,0,0.18,0.01,0
Lithuania,3:50,1.84,0,0.12,97.85,0.03,0.15,0.01,0
Norway,4:00,0.9,0.1,0.33,97.71,0.12,0.83,0.01,0
Norway,4:10,0.93,0.02,0.5,97.5,0.14,0.89,0.01,0
Norway,4:20,0.96,0.03,0.38,97.64,0.13,0.86,0,0
Norway,4:30,0.97,0.05,0.47,97.48,0.13,0.85,0.03,0.02
Norway,4:40,1.01,0.1,0.38,97.48,0.11,0.87,0.03,0.01
Norway,4:50,1.06,0.12,0.62,97.11,0.18,0.86,0.04,0.01
Norway,5:00,0.97,0.25,0.77,96.88,0.28,0.82,0.01,0
Norway,5:10,0.98,0.34,0.72,96.54,0.45,0.86,0.05,0.07
Norway,5:20,1.07,0.5,0.73,96.25,0.41,0.97,0.05,0.01
Norway,5:30,1.27,0.83,0.79,95.65,0.47,0.91,0.03,0.04
Norway,5:40,1.36,0.85,0.82,95.07,0.69,1.17,0.03,0.02
Norway,5:50,1.57,1.04,1.43,93.79,0.81,1.32,0.01,0.02
Norway,6:00,2.27,1.29,2.42,91.03,1.21,1.76,0.03,0
Norway,6:10,2.5,1.76,3.17,88.26,2.31,1.92,0.06,0.02
Norway,6:20,3.03,2.47,4.02,85.1,2.8,2.41,0.11,0.05
Norway,6:30,3.81,3.82,4.15,80.86,3.78,3.19,0.34,0.04
Norway,6:40,4.84,4.72,4.41,77.96,4.26,3.42,0.33,0.06
Norway,6:50,6.34,5.38,5.15,74.6,4.59,3.56,0.26,0.1
Norway,7:00,9.63,4.57,7.02,68.85,5.34,4.07,0.46,0.06
Norway,7:10,10.72,5.15,7.66,65.05,6.17,4.74,0.44,0.08
Norway,7:20,12.09,6.53,8.69,60.38,6.01,5.55,0.64,0.11
Norway,7:30,15.08,6.97,9.7,54.9,6.9,5.67,0.72,0.06
Norway,7:40,16.88,8.16,9.08,51.81,7.2,5.98,0.86,0.03
Norway,7:50,19.56,8.17,10.01,48.22,6.6,6.52,0.82,0.1
Norway,8:00,24.51,5.72,12.38,43.15,6.05,7.09,1.04,0.06
Norway,8:10,27.19,4.85,12.04,40.29,7.08,7.47,0.92,0.15
Norway,8:20,29.31,4.17,12.3,37.36,7.17,8.24,1.24,0.21
Norway,8:30,31,3.75,12.58,34.16,8.02,8.76,1.56,0.16
Norway,8:40,32.49,3.56,12.6,31.56,8.47,9.62,1.54,0.16
Norway,8:50,33.69,2.9,13.53,29.58,8.62,10,1.53,0.15
Norway,9:00,35.06,1.44,15.98,26.57,8.3,10.82,1.58,0.26
Norway,9:10,35.58,1.31,16.53,24.34,8.92,11.41,1.63,0.28
Norway,9:20,36.31,1.26,17.61,21.72,9.22,12.11,1.57,0.2
Norway,9:30,36.7,1.14,18.92,19.19,9.28,12.93,1.63,0.2
Norway,9:40,37.42,1.18,20,17.65,8.15,13.57,1.74,0.3
Norway,9:50,37.96,1.01,20.05,16.48,8.21,13.96,1.93,0.41
Norway,10:00,37.9,0.88,22.9,14.47,6.77,14.72,1.99,0.38
Norway,10:10,38.1,0.91,22.95,13.34,6.84,15.58,2.01,0.26
Norway,10:20,38.32,0.83,22.73,11.68,7.21,16.66,2.37,0.2
Norway,10:30,38.32,0.69,23.75,9.98,7.31,17.23,2.42,0.31
Norway,10:40,38.41,0.72,24.08,8.79,7.26,17.94,2.48,0.33
Norway,10:50,38.13,0.66,24.19,7.87,7.59,18.95,2.35,0.25
Norway,11:00,33.99,0.78,24.87,7.4,10.67,19.51,2.5,0.29
Norway,11:10,32.99,0.71,24.74,6.8,11.95,20,2.48,0.33
Norway,11:20,32.15,0.76,24.66,6.44,12.32,20.73,2.66,0.28
Norway,11:30,29.51,0.78,25.52,5.83,14.85,20.74,2.57,0.21
Norway,11:40,29.5,0.79,24.81,5.85,15.01,21.37,2.48,0.2
Norway,11:50,29.88,0.69,24.72,5.3,15.12,21.73,2.35,0.21
Norway,12:00,31.18,0.89,24.45,4.8,13.77,22.42,2.32,0.17
Norway,12:10,32.57,0.83,24.07,4.63,12.89,22.49,2.34,0.18
Norway,12:20,33.82,0.75,23.92,4.6,11.45,22.68,2.57,0.19
Norway,12:30,36.56,0.57,23.98,4.09,8.8,23.35,2.46,0.19
Norway,12:40,37.26,0.46,23.5,3.94,8.22,23.6,2.76,0.25
Norway,12:50,37.5,0.55,22.74,4.08,8.46,23.78,2.62,0.28
Norway,13:00,37.95,0.81,23.82,3.93,7.21,23.46,2.57,0.25
Norway,13:10,38.19,0.63,23.07,4.07,7.36,23.66,2.74,0.28
Norway,13:20,38.29,0.75,22.97,3.88,7.09,23.65,3.09,0.28
Norway,13:30,38.76,1.03,22.93,3.47,5.8,24.63,3.14,0.22
Norway,13:40,38.43,1.37,22.69,3.64,5.51,25.08,3.03,0.25
Norway,13:50,38.43,1.39,22.78,3.56,5.59,25.2,2.93,0.14
Norway,14:00,37.37,2.12,24.14,3.41,5.81,24.22,2.88,0.05
Norway,14:10,36.97,2.07,24.09,3.78,6.21,23.78,3.02,0.07
Norway,14:20,36.81,2.05,23.76,3.65,6.43,24.2,2.92,0.17
Norway,14:30,36.4,2.06,24.32,3.7,6.34,24.16,2.84,0.19
Norway,14:40,36.05,1.95,23.94,3.86,6.27,24.81,2.97,0.15
Norway,14:50,35.76,2.02,24.14,3.97,6.7,24.41,2.75,0.24
Norway,15:00,30.66,5.64,24.38,4.26,7.71,24.39,2.63,0.32
Norway,15:10,29.19,5.03,24.9,4.31,8.42,25.09,2.67,0.39
Norway,15:20,28.09,5.05,24.54,4.06,9.18,25.95,2.75,0.38
Norway,15:30,24.45,6.87,25.27,4.41,9.34,26.62,2.82,0.23
Norway,15:40,22.81,6.03,26.15,5.1,9.7,26.99,2.94,0.28
Norway,15:50,21.08,6.37,26.83,5.13,10.29,26.81,3.2,0.29
Norway,16:00,16.44,7.76,28.02,6.19,11.52,26.15,3.51,0.41
Norway,16:10,15.6,6.55,28.39,6.32,11.99,27.1,3.74,0.31
Norway,16:20,14.89,6.07,27.72,6.7,12.3,28.17,3.78,0.38
Norway,16:30,13.51,5.37,27.93,6.55,13.17,28.84,4.33,0.31
Norway,16:40,13,4.41,27.43,7.13,12.99,30.12,4.61,0.32
Norway,16:50,12.81,3.62,27.1,7.43,12.41,31.55,4.73,0.35
Norway,17:00,11.76,3.39,26.82,7.61,11.91,32.98,5.24,0.29
Norway,17:10,11.35,2.94,26.23,7.48,11.44,34.77,5.43,0.37
Norway,17:20,11.27,2.19,26.36,7.1,10.9,35.64,6.04,0.51
Norway,17:30,11.17,2.14,26.05,7.08,9.65,36.59,6.84,0.47
Norway,17:40,11.06,1.63,26.65,7.23,8.64,37.25,7.13,0.41
Norway,17:50,10.84,1.98,25.46,6.95,8.38,38.6,7.27,0.54
Norway,18:00,9.93,1.75,26.52,5.65,7.85,38.59,9.2,0.51
Norway,18:10,9.85,1.56,25.4,5.87,8.03,38.81,10.01,0.46
Norway,18:20,9.54,1.38,24.73,5.63,7.98,38.54,11.87,0.32
Norway,18:30,9.02,1.29,22.91,4.75,7.56,35.74,18.51,0.24
Norway,18:40,8.89,0.95,22.93,4.18,7.22,36.13,19.4,0.3
Norway,18:50,8.76,0.94,23.3,3.77,7.26,35.85,19.87,0.24
Norway,19:00,7.67,1.32,21.31,3.1,6.86,32.46,26.98,0.3
Norway,19:10,7.5,1.03,20.51,2.9,7.18,32.47,28.14,0.27
Norway,19:20,7.31,1.02,20.31,2.46,7.25,32.5,28.91,0.25
Norway,19:30,7.24,0.9,21.95,2.45,7.27,34.37,25.51,0.31
Norway,19:40,7.24,0.79,22.1,2.49,7.12,35.21,24.71,0.34
Norway,19:50,7.32,0.95,21.47,2.4,7.08,35.96,24.51,0.32
Norway,20:00,6.84,1.12,21.9,2.67,7.66,38.45,20.93,0.42
Norway,20:10,6.92,0.99,19.83,2.69,8.37,38.53,22.15,0.51
Norway,20:20,6.89,0.61,18.86,2.61,7.86,39.08,23.69,0.38
Norway,20:30,6.77,0.61,18.21,2.26,7.71,38.85,25.07,0.53
Norway,20:40,6.8,0.41,17.81,2.32,7.17,38.14,26.85,0.49
Norway,20:50,6.69,0.43,17.46,2.31,7.03,37.11,28.49,0.49
Norway,21:00,5.81,0.91,14.6,3.11,6.51,32.39,36.27,0.39
Norway,21:10,5.67,0.8,13.72,2.97,6.54,32.23,37.75,0.33
Norway,21:20,5.69,0.67,12.9,3.42,6.15,32.78,38.12,0.27
Norway,21:30,5.44,0.7,12.68,4.32,5.64,33.29,37.55,0.37
Norway,21:40,5.58,0.6,12.19,5.21,5.44,33.28,37.39,0.31
Norway,21:50,5.46,0.6,11.36,6.4,5.31,32.75,37.69,0.42
Norway,22:00,4.71,0.76,10.62,13.16,4.26,33,33.04,0.44
Norway,22:10,4.55,0.68,9.82,13.21,4.53,32.83,34.01,0.38
Norway,22:20,4.39,0.72,8.76,15.06,4.14,32.48,34.21,0.23
Norway,22:30,4.08,0.62,8.43,20.56,3.79,30.5,31.63,0.4
Norway,22:40,3.82,0.64,7.55,24.31,3.14,29.84,30.35,0.34
Norway,22:50,3.71,0.49,6.44,28.99,2.87,28.98,28.16,0.36
Norway,23:00,3,0.59,4.9,42.32,2.34,24.84,21.67,0.34
Norway,23:10,2.93,0.53,4.72,46.58,2.01,23.84,18.91,0.48
Norway,23:20,2.78,0.49,3.95,51.48,1.99,22.93,16.02,0.37
Norway,23:30,2.51,0.46,3.61,57.72,1.75,20.31,13.28,0.36
Norway,23:40,2.35,0.34,2.82,61.26,1.75,19.49,11.76,0.23
Norway,23:50,2.37,0.15,2.47,65.75,1.45,17.62,10.04,0.16
Norway,0:00,2.12,0.23,1.94,74.09,1.12,13.92,6.43,0.15
Norway,0:10,1.91,0.16,1.52,76.58,0.95,13.21,5.61,0.05
Norway,0:20,1.8,0.17,1.17,79.09,0.81,11.94,4.93,0.08
Norway,0:30,1.64,0.16,1.03,81.71,0.61,10.7,4.12,0.03
Norway,0:40,1.56,0.11,0.91,83.48,0.65,9.44,3.74,0.11
Norway,0:50,1.48,0.04,0.74,85.09,0.53,8.59,3.46,0.07
Norway,1:00,1.27,0.07,0.9,88.79,0.51,6.49,1.9,0.08
Norway,1:10,1.24,0.04,0.79,89.19,0.5,6.32,1.88,0.03
Norway,1:20,1.24,0.04,0.54,90.3,0.44,5.82,1.58,0.03
Norway,1:30,1.27,0.07,0.49,91.33,0.32,5.18,1.32,0.02
Norway,1:40,1.26,0.08,0.39,92.2,0.31,4.77,0.97,0.03
Norway,1:50,1.28,0.06,0.45,92.63,0.3,4.29,0.96,0.03
Norway,2:00,1.07,0.08,0.54,94.04,0.33,3.45,0.49,0
Norway,2:10,1.05,0.07,0.39,94.4,0.31,3.35,0.41,0.02
Norway,2:20,1.05,0.05,0.43,94.96,0.32,2.83,0.34,0.02
Norway,2:30,1.13,0.03,0.28,95.5,0.24,2.63,0.18,0.02
Norway,2:40,1.1,0.03,0.2,95.74,0.17,2.55,0.17,0.06
Norway,2:50,1.05,0.04,0.24,96.04,0.17,2.29,0.16,0.01
Norway,3:00,1.02,0.1,0.38,96.44,0.15,1.78,0.11,0.02
Norway,3:10,0.97,0.11,0.29,96.88,0.12,1.54,0.06,0.02
Norway,3:20,0.92,0.07,0.36,97.11,0.18,1.33,0.02,0.02
Norway,3:30,0.9,0.05,0.31,97.36,0.06,1.28,0.02,0.02
Norway,3:40,0.92,0.02,0.36,97.47,0.03,1.16,0.02,0.01
Norway,3:50,0.92,0.01,0.4,97.55,0.1,0.98,0.02,0.01
Spain,4:00,1.23,0.07,0.24,96.78,0.08,1.52,0.07,0.01
Spain,4:10,1.24,0.05,0.21,96.92,0.08,1.43,0.07,0
Spain,4:20,1.24,0.06,0.19,97,0.07,1.36,0.07,0.01
Spain,4:30,1.25,0.06,0.2,97.07,0.08,1.25,0.08,0.01
Spain,4:40,1.25,0.08,0.17,97.16,0.09,1.17,0.07,0
Spain,4:50,1.26,0.1,0.2,97.12,0.1,1.16,0.06,0
Spain,5:00,1.3,0.15,0.23,97.08,0.15,1.05,0.05,0
Spain,5:10,1.31,0.23,0.21,96.97,0.24,0.98,0.05,0
Spain,5:20,1.33,0.4,0.24,96.74,0.33,0.91,0.04,0.01
Spain,5:30,1.37,0.7,0.19,96.56,0.32,0.82,0.04,0.01
Spain,5:40,1.44,0.91,0.24,96.31,0.28,0.76,0.05,0
Spain,5:50,1.66,1.02,0.25,96.08,0.22,0.71,0.05,0.01
Spain,6:00,2.51,0.78,0.51,95.24,0.26,0.65,0.02,0.03
Spain,6:10,2.54,0.92,0.74,94.44,0.65,0.66,0.02,0.02
Spain,6:20,2.65,1.26,1.09,93.09,1.13,0.73,0.02,0.03
Spain,6:30,2.89,1.74,1.32,91.55,1.57,0.85,0.07,0.02
Spain,6:40,3.12,2.39,1.85,89.77,1.86,0.92,0.08,0.01
Spain,6:50,3.72,3.06,2.11,87.94,2.06,0.99,0.1,0.02
Spain,7:00,5.31,2.87,2.96,84.92,2.56,1.27,0.09,0.01
Spain,7:10,5.65,3.55,3.9,81.48,3.89,1.39,0.12,0.02
Spain,7:20,6.36,4.78,4.84,77.26,4.99,1.58,0.15,0.04
Spain,7:30,7.66,6.34,5.81,72.84,5.32,1.84,0.17,0.03
Spain,7:40,8.5,8.02,6.92,68.77,5.53,2.08,0.15,0.02
Spain,7:50,10.99,8.57,7.69,65.05,5.13,2.35,0.17,0.05
Spain,8:00,17.84,4.32,9.29,60.61,4.99,2.65,0.26,0.05
Spain,8:10,19.12,4.24,10.84,56.11,6.42,2.92,0.3,0.06
Spain,8:20,20.44,4.64,12.28,51.46,7.53,3.28,0.31,0.06
Spain,8:30,22.77,4.17,14.14,47.1,7.62,3.77,0.35,0.07
Spain,8:40,23.54,5.01,15.33,44.05,7.41,4.22,0.36,0.07
Spain,8:50,25.14,5.27,16.34,41.01,6.97,4.8,0.42,0.06
Spain,9:00,29.82,2.39,18.65,36.08,6.79,5.67,0.47,0.11
Spain,9:10,30.64,2.15,19.86,32.47,8.19,6.07,0.55,0.08
Spain,9:20,31.47,2.03,21.63,28.64,8.92,6.57,0.64,0.09
Spain,9:30,32.68,1.69,23.95,25.24,8.43,7.27,0.64,0.11
Spain,9:40,33.11,1.8,25.24,23.2,8.01,7.81,0.71,0.13
Spain,9:50,33.75,1.72,26.69,21.18,7.26,8.51,0.73,0.16
Spain,10:00,35.04,0.93,29.01,18.22,6.2,9.58,0.79,0.22
Spain,10:10,35.48,0.69,30.12,16.28,6.4,10.04,0.84,0.16
Spain,10:20,35.72,0.69,31.36,14.34,6.05,10.67,0.95,0.21
Spain,10:30,36,0.56,32.47,12.45,5.41,11.8,1.1,0.21
Spain,10:40,36.16,0.57,33.3,11.53,4.64,12.43,1.16,0.2
Spain,10:50,36.34,0.57,33.6,10.83,3.99,13.28,1.2,0.2
Spain,11:00,36.44,0.54,34,9.71,3.13,14.68,1.31,0.2
Spain,11:10,36.55,0.48,34.13,8.88,3.09,15.25,1.42,0.2
Spain,11:20,36.63,0.47,34.45,8.09,2.8,15.84,1.52,0.19
Spain,11:30,36.79,0.42,34.7,7.32,2.2,16.72,1.66,0.18
Spain,11:40,36.85,0.46,34.6,6.95,1.97,17.24,1.76,0.16
Spain,11:50,36.82,0.54,34.39,6.58,1.8,17.86,1.85,0.17
Spain,12:00,36.02,0.9,33.98,5.89,1.92,18.99,2.04,0.26
Spain,12:10,36.06,0.73,33.99,5.46,2.03,19.25,2.22,0.26
Spain,12:20,36.05,0.68,34.23,4.92,1.96,19.43,2.48,0.25
Spain,12:30,35.66,0.84,33.97,4.57,2,19.92,2.78,0.26
Spain,12:40,35.52,0.85,33.94,4.44,1.99,20.03,2.96,0.27
Spain,12:50,34.89,1.19,33.46,4.29,2.78,19.96,3.13,0.3
Spain,13:00,30.41,3.37,32.38,4.13,6.72,19.03,3.5,0.46
Spain,13:10,29.72,2.87,31.99,4.12,8.23,18.94,3.79,0.34
Spain,13:20,28.83,2.52,31.21,3.81,10.95,18.45,3.84,0.38
Spain,13:30,25.65,3.74,30,3.91,14.42,17.75,4.12,0.41
Spain,13:40,25.03,3.33,29.54,3.89,15.86,17.44,4.5,0.41
Spain,13:50,23.7,3.47,27.61,3.95,20.13,16.03,4.56,0.55
Spain,14:00,16.89,6.61,22.75,4.21,31.54,12.82,4.46,0.72
Spain,14:10,15.99,5.61,21.49,4.49,34.8,12.14,4.9,0.59
Spain,14:20,15.5,4.35,20.12,4.84,37.99,11.36,5.32,0.51
Spain,14:30,14.53,4.32,19.45,5.37,38.58,10.7,6.59,0.45
Spain,14:40,14.45,4.3,19.73,5.93,36.97,10.82,7.39,0.4
Spain,14:50,14.68,4.85,19.47,6.16,35.33,10.85,8.14,0.51
Spain,15:00,15.6,5.78,19.22,8.75,25.81,12.61,11.7,0.52
Spain,15:10,15.76,4.97,18.86,9.54,24.71,13,12.79,0.36
Spain,15:20,16.22,4.14,18.14,10.23,23.27,13.94,13.76,0.29
Spain,15:30,17.48,3.49,18.15,11.79,17.89,16.13,14.74,0.33
Spain,15:40,18,3.5,17.59,12.63,15.45,17.12,15.43,0.29
Spain,15:50,18.82,3.69,17,13.12,13.39,18.07,15.58,0.32
Spain,16:00,21.73,2.62,16.81,13.98,7.82,21.36,15.23,0.45
Spain,16:10,22.26,2.26,16.21,14.11,6.69,22.34,15.74,0.4
Spain,16:20,22.77,2.22,15.91,14.11,5.69,23.02,15.9,0.39
Spain,16:30,23.81,1.91,16.3,13.81,4.14,24.13,15.45,0.45
Spain,16:40,24.1,2.04,16.46,13.47,3.6,24.53,15.4,0.39
Spain,16:50,24.48,2.36,16.93,12.66,3.15,25.36,14.67,0.4
Spain,17:00,25.27,2.09,18.78,10.48,3.05,27.63,12.27,0.43
Spain,17:10,25.55,1.7,19.07,9.7,3.03,28.3,12.26,0.39
Spain,17:20,25.64,1.61,19.07,8.92,3.02,29.18,12.18,0.37
Spain,17:30,25.53,1.52,19.67,7.96,3.01,30.22,11.75,0.33
Spain,17:40,25.53,1.46,19.71,7.55,3.02,30.65,11.79,0.3
Spain,17:50,25.27,1.61,19.78,7.05,3.37,31.39,11.26,0.28
Spain,18:00,23.01,3.2,20.85,5.86,3.68,34.06,8.97,0.36
Spain,18:10,22.87,2.76,20.91,5.38,3.95,34.42,9.37,0.34
Spain,18:20,22.83,2.44,20.97,5.07,3.68,35.11,9.6,0.3
Spain,18:30,21.96,2.67,21.1,4.85,3.21,36.08,9.8,0.34
Spain,18:40,21.77,2.29,21.06,4.86,2.92,36.55,10.21,0.34
Spain,18:50,21.53,2.22,21.12,4.58,2.82,37.13,10.26,0.34
Spain,19:00,18.51,3.97,21.71,4.41,2.94,38.36,9.77,0.34
Spain,19:10,18.23,3.33,21.86,4.54,3.11,38.1,10.45,0.38
Spain,19:20,17.89,2.72,22.1,4.22,3.04,38.66,11,0.37
Spain,19:30,16.85,2.63,22.4,4.31,2.95,38.94,11.56,0.34
Spain,19:40,16.55,2.29,22.65,4.27,3.06,38.72,12.07,0.38
Spain,19:50,15.96,2.34,23.09,4,3.5,38.65,12.04,0.42
Spain,20:00,12.31,4.06,24.24,4.53,5.97,36.62,11.84,0.41
Spain,20:10,11.79,3.25,25.06,4.97,6.83,35.22,12.46,0.41
Spain,20:20,11.37,2.66,25.03,4.92,8.68,34.16,12.72,0.46
Spain,20:30,9.77,2.66,25.38,5.09,11.05,32.36,13.26,0.41
Spain,20:40,9.48,2.17,25.59,4.99,12.26,31.43,13.67,0.41
Spain,20:50,8.96,2.01,24.62,4.63,16.38,29.61,13.34,0.46
Spain,21:00,6.62,2.59,22.8,4.77,25.69,23.32,13.64,0.56
Spain,21:10,6.43,1.91,21.93,4.94,27.83,21.7,14.77,0.5
Spain,21:20,6.18,1.68,20.86,4.6,29.46,20.55,16.14,0.52
Spain,21:30,5.55,1.66,20.65,5.24,27.92,19.26,19.2,0.52
Spain,21:40,5.36,1.41,19.91,5.48,26.55,19.13,21.7,0.46
Spain,21:50,5.21,1.22,18.21,6,26.44,18.51,23.9,0.51
Spain,22:00,4.16,1.77,15.46,8.43,23.21,17.26,29.09,0.62
Spain,22:10,3.93,1.52,13.92,9.27,21.93,16.58,32.26,0.58
Spain,22:20,3.84,1.18,11.79,10.66,20.51,16.59,34.77,0.65
Spain,22:30,3.69,0.95,10.75,13.59,16.06,16.65,37.58,0.74
Spain,22:40,3.67,0.69,9.57,15.03,13.78,16.79,39.69,0.78
Spain,22:50,3.63,0.55,8.34,18.77,11.42,16.73,39.65,0.92
Spain,23:00,3.3,0.55,6.56,29.35,7.45,16.17,35.63,1
Spain,23:10,3.29,0.41,5.4,31.52,6.62,15.94,35.87,0.95
Spain,23:20,3.3,0.36,4.35,35.72,5.45,15.64,34.3,0.89
Spain,23:30,3.17,0.3,3.41,43.45,4.18,14.86,29.78,0.84
Spain,23:40,3.12,0.26,2.92,47.99,3.45,14.13,27.41,0.72
Spain,23:50,2.91,0.31,2.25,56.58,2.63,12.75,21.97,0.61
Spain,0:00,2.52,0.34,1.59,71.8,1.42,10.63,11.26,0.45
Spain,0:10,2.48,0.28,1.42,73.06,1.26,10.22,10.9,0.39
Spain,0:20,2.42,0.24,1.12,75.06,1.08,9.7,10.04,0.34
Spain,0:30,2.28,0.2,0.99,79.11,0.81,8.47,7.82,0.31
Spain,0:40,2.26,0.16,0.9,80.56,0.71,7.97,7.24,0.21
Spain,0:50,2.18,0.14,0.76,82.2,0.61,7.49,6.43,0.19
Spain,1:00,1.93,0.15,0.63,86.93,0.45,6.35,3.4,0.15
Spain,1:10,1.87,0.12,0.55,87.87,0.45,5.96,3.07,0.1
Spain,1:20,1.84,0.11,0.49,88.72,0.38,5.63,2.73,0.1
Spain,1:30,1.74,0.12,0.37,90.38,0.3,4.94,2.04,0.12
Spain,1:40,1.71,0.1,0.32,90.9,0.29,4.75,1.84,0.09
Spain,1:50,1.7,0.08,0.29,91.54,0.23,4.5,1.57,0.08
Spain,2:00,1.52,0.12,0.32,93.19,0.2,3.8,0.78,0.07
