"Hotellerie: Ankünfte und Logiernächte der geöffneten Betriebe nach Jahr, Monat, Kanton und Gästeherkunftsland"
"Jahr";"Monat";"Kanton";"Schweiz Logiernächte";"Baltische Staaten Logiernächte";"Deutschland Logiernächte";"Frankreich Logiernächte";"Italien Logiernächte";"Österreich Logiernächte";"Vereinigtes Königreich Logiernächte";"Irland (Eire) Logiernächte";"Niederlande Logiernächte";"Belgien Logiernächte";"Luxemburg Logiernächte";"Dänemark Logiernächte";"Schweden Logiernächte";"Norwegen Logiernächte";"Finnland Logiernächte";"Spanien Logiernächte";"Portugal Logiernächte";"Griechenland Logiernächte";"Türkei Logiernächte";"Übriges Europa Logiernächte";"Liechtenstein Logiernächte";"Island Logiernächte";"Polen Logiernächte";"Ungarn Logiernächte";"Belarus (Weissrussland) Logiernächte";"Bulgarien Logiernächte";"Malta Logiernächte";"Zypern Logiernächte";"Chile Logiernächte";"Vereinigte Staaten / USA Logiernächte";"Kanada Logiernächte";"Mexiko Logiernächte";"Brasilien Logiernächte";"Argentinien Logiernächte";"Zentralamerika, Karibik Logiernächte";"Übriges Südamerika Logiernächte";"Übriges Zentralamerika, Karibik Logiernächte";"Aegypten Logiernächte";"Übriges Nordafrika Logiernächte";"Südafrika, Republik Logiernächte";"Übriges Afrika Logiernächte";"Bahrain Logiernächte";"Israel Logiernächte";"Indien Logiernächte";"Japan Logiernächte";"Übriges Süd- und Ostasien Logiernächte";"Katar Logiernächte";"Kuwait Logiernächte";"Australien Logiernächte";"Australien, Neuseeland, Ozeanien Logiernächte";"China (ohne Hongkong) Logiernächte";"Golf-Staaten Logiernächte";"Hongkong Logiernächte";"Indonesien Logiernächte";"Korea, Republik Logiernächte";"Malaysia Logiernächte";"Philippinen Logiernächte";"Neuseeland, Ozeanien Logiernächte";"Singapur Logiernächte";"Oman Logiernächte";"China (Taiwan) Logiernächte";"Thailand Logiernächte";"Übriges Westasien Logiernächte";"Estland Logiernächte";"Lettland Logiernächte";"Litauen Logiernächte";"Saudi Arabien Logiernächte";"Vereinigte Arabische Emirate Logiernächte";"Serbien und Montenegro Logiernächte";"Kroatien Logiernächte";"Rumänien Logiernächte";"Russland Logiernächte";"Slovakei Logiernächte";"Slowenien Logiernächte";"Tschechische Republik Logiernächte";"Ukraine Logiernächte";"Serbien Logiernächte"
"2013";"Dezember";"Bern / Berne";143664;...;36345;10687;6031;1554;20059;393;11034;5718;1797;325;655;313;278;2818;478;1022;224;1054;129;22;508;355;16;115;81;35;48;6988;692;398;1598;51;...;307;127;121;208;2168;298;25;416;1089;3324;400;235;85;3387;...;10290;...;1150;762;6757;904;84;230;5664;79;432;2700;341;45;59;71;983;806;...;50;252;3416;195;160;509;858;64
"2014";"Januar";"Bern / Berne";197286;...;44139;10883;6342;3140;25464;467;9120;6105;2062;685;1396;504;332;1840;378;750;921;1059;203;42;1419;282;856;250;316;55;48;6461;1021;140;2464;281;...;308;215;141;297;2085;313;60;597;801;3248;913;229;188;3584;...;10591;...;564;309;11638;254;19;248;819;27;685;935;1345;28;34;111;798;666;...;423;193;8673;434;354;555;940;118
"2014";"Februar";"Bern / Berne";203585;...;38194;18856;4137;2502;35499;740;20164;6584;4869;1383;2439;694;471;2028;656;530;855;1138;150;38;941;232;200;397;18;33;120;7824;802;197;1268;218;...;202;226;71;338;434;255;39;675;995;3539;676;189;231;977;...;14147;...;987;127;6930;656;79;174;828;38;853;1061;320;43;63;19;1029;746;...;124;362;3248;255;214;536;330;60
"2014";"März";"Bern / Berne";202150;...;54146;16341;4298;3269;20897;347;11737;11694;1559;1017;2547;504;464;1722;754;540;391;975;199;33;2401;405;185;342;1040;0;65;6897;1636;257;1522;210;...;286;216;73;369;600;498;77;629;1678;5301;1006;162;288;685;...;14409;...;837;383;8352;657;166;96;1301;91;1201;3440;229;140;95;34;2190;1383;...;112;292;3342;504;86;787;400;87
"2014";"April";"Bern / Berne";127344;...;29412;5833;4254;2736;10473;330;4161;2000;519;504;771;338;478;3469;397;283;304;790;105;698;837;303;234;213;26;22;48;6779;1053;291;2226;342;...;415;197;90;347;768;689;126;856;7670;3861;1172;576;489;1733;...;22019;...;2191;359;10954;984;277;193;1562;215;1230;9056;309;53;96;58;2437;3182;...;63;237;2964;375;162;454;318;78
"2014";"Mai";"Bern / Berne";157583;...;34326;6808;4909;3638;14019;380;5155;2063;498;581;872;499;415;2218;525;224;439;1217;267;58;822;815;86;145;8;26;71;19458;1902;321;2238;451;...;313;275;130;377;556;330;289;952;18464;9047;1488;736;873;3131;...;26538;...;1930;560;12209;1367;190;267;2613;219;3226;4835;261;126;75;130;4696;3296;...;133;257;2792;347;191;932;235;29
"2014";"Juni";"Bern / Berne";196236;...;44951;8080;5316;4135;36471;616;7543;3036;954;713;1237;682;766;3493;760;214;385;1573;180;150;890;832;541;215;25;17;102;32080;2801;331;1783;369;...;419;334;46;359;671;518;147;1441;14414;20724;1659;937;1940;4123;...;24710;...;3260;456;11672;1150;78;521;3323;660;5723;2464;925;472;54;125;10739;6280;...;162;417;3523;280;244;935;409;71
"2014";"Juli";"Bern / Berne";223860;...;50451;12684;5999;5106;41328;726;13258;6996;950;1446;2127;1258;1060;6871;514;509;627;1702;294;84;1304;1152;122;288;69;97;193;37544;3832;805;2404;635;...;420;484;251;131;916;331;135;2446;9068;38687;1991;633;1171;5177;...;40058;...;3028;1158;16482;803;156;647;1934;287;5703;2105;429;169;156;229;3112;3383;...;184;580;3897;600;282;1668;497;69
"2014";"August";"Bern / Berne";239826;...;67443;17792;10521;4659;38384;644;12795;6164;1798;1353;1291;997;767;11927;959;385;431;1816;186;74;1432;1175;186;230;150;84;102;31262;2995;456;1860;601;...;390;335;326;507;847;745;1805;3755;5863;25079;2624;8009;9834;3849;...;36580;...;3000;495;15388;391;32;481;1072;2018;4192;1331;2072;99;240;161;35126;26271;...;161;807;4214;531;355;1950;618;143
"2014";"September";"Bern / Berne";227730;...;50528;7925;4589;4178;30697;633;7344;2712;1290;854;1406;886;473;3661;923;199;230;1846;248;83;916;613;136;164;448;59;123;30295;3438;316;2515;706;...;468;423;183;175;453;266;241;2526;4574;12590;2078;1619;2631;5373;...;24233;...;2164;450;12382;846;132;573;1840;469;4395;2467;838;90;41;73;9435;5270;...;99;459;2582;388;216;952;295;136
"2014";"Oktober";"Bern / Berne";193528;...;33967;5878;4331;2779;9180;216;4221;1299;441;491;991;465;507;1723;620;228;403;1610;195;43;850;948;23;173;6;31;177;12257;1426;534;2727;395;...;212;145;189;191;360;502;123;1532;5557;9732;1563;1315;1735;2784;...;30801;...;2108;371;14846;802;156;245;1987;402;4257;4764;560;38;40;52;8861;4031;...;80;319;2120;283;164;557;319;29
"2014";"November";"Bern / Berne";123308;...;18256;3925;3137;1926;3552;159;1513;745;323;304;585;312;161;1323;261;179;203;898;142;29;652;385;21;110;11;13;41;3758;458;163;1020;238;...;158;147;57;70;283;812;45;363;1688;2518;892;246;222;642;...;15454;...;756;753;7084;505;96;63;1711;125;1048;2309;165;12;16;22;1052;1084;...;53;205;1477;297;131;475;123;173
"2014";"Dezember";"Bern / Berne";141684;...;34694;11768;7675;1893;20912;513;11304;5316;2339;627;587;215;320;2995;461;1037;241;990;100;83;890;311;737;105;126;112;88;7091;730;353;2280;47;...;248;157;135;200;1512;162;163;1655;1519;3001;712;294;123;3625;...;12560;...;1505;956;7765;1152;96;278;4805;146;920;3588;315;51;79;26;1074;1305;...;43;302;2891;306;79;693;245;77
"2015";"Januar";"Bern / Berne";197839;...;42821;9899;6169;2674;23671;444;8100;5248;2165;878;1320;761;332;2157;505;746;977;913;188;79;1461;206;519;119;37;48;64;6889;795;246;3203;267;...;309;309;143;81;1467;237;97;490;875;2429;675;368;257;3234;...;9431;...;321;389;12897;174;71;443;793;245;1024;1194;204;45;53;52;1118;785;...;270;536;6103;321;290;546;441;63
"2015";"Februar";"Bern / Berne";225207;...;39523;20414;4006;2258;35710;781;23151;11127;4005;1192;1989;848;445;2105;764;388;873;1509;92;28;2246;223;10;275;16;25;114;7815;1612;237;2085;149;...;143;180;88;271;202;353;9;577;1393;2933;490;140;122;800;...;23322;...;1262;189;9060;345;35;170;800;291;1964;737;295;120;101;58;742;664;...;105;401;1897;305;145;495;211;130
"2015";"März";"Bern / Berne";180397;...;38525;12691;3420;2493;21292;445;8295;5228;917;633;1214;495;448;1945;510;343;430;1151;118;26;2480;431;27;302;28;25;73;9818;3461;219;1099;271;...;299;196;96;204;333;473;44;774;2686;3274;1196;336;342;1370;...;17274;...;1061;400;11485;553;97;124;1020;189;2711;2821;326;242;72;47;2642;2330;...;102;371;1803;283;140;576;228;77
"2015";"April";"Bern / Berne";131120;...;27288;5026;4074;2139;9746;209;2729;2292;615;493;623;338;341;2421;367;231;353;1125;78;32;957;370;21;114;60;43;81;9098;1310;269;2165;296;...;385;188;153;165;700;954;106;997;5634;2963;1162;799;602;1826;...;26094;...;2557;878;14120;698;338;231;1516;228;2447;9444;265;51;51;109;3678;3320;...;50;221;1287;256;132;502;333;44
"2015";"Mai";"Bern / Berne";141614;...;27990;5977;3909;2470;13984;265;5080;1586;449;695;578;335;369;2143;449;127;341;1979;172;38;986;506;27;87;31;46;151;20381;2065;300;2509;415;...;247;155;131;150;883;354;145;859;25484;9376;1954;709;1532;3119;...;34940;...;2730;1094;15673;854;574;371;1904;382;4842;4670;273;48;49;42;7863;2826;...;95;454;1725;388;105;536;201;181
"2015";"Juni";"Bern / Berne";195334;...;37102;6370;4417;3523;34474;491;5140;2474;755;657;914;1028;625;2938;715;198;564;2202;214;66;1431;521;50;181;48;50;114;36238;2668;325;2337;541;...;271;742;182;83;856;369;236;1624;23125;16606;1710;598;1344;4752;...;36636;...;3821;633;15567;943;361;779;3140;472;7896;2976;245;75;139;68;6360;3933;...;102;480;1576;279;231;1070;424;77
"2015";"Juli";"Bern / Berne";232919;...;41136;11619;5780;4102;37486;472;10781;5172;743;1685;1757;1231;1088;6628;605;319;625;1555;204;75;1591;942;59;358;36;28;134;41608;3618;591;2759;566;...;426;521;132;200;1303;843;1085;2750;10163;32824;3322;3876;4751;5098;...;54305;...;4901;2132;22828;721;173;768;1661;1512;7218;2002;807;84;109;274;23878;12672;...;140;507;2342;379;288;1445;456;117
"2015";"August";"Bern / Berne";234432;...;49662;14618;9929;4617;37303;453;8501;5206;1237;1113;1430;862;516;10265;988;316;560;1602;236;109;1383;486;292;270;130;25;123;33354;2816;597;1518;602;...;1066;549;297;176;769;416;2765;2724;6820;20597;3108;8399;11676;3646;...;55004;...;4902;260;19679;390;170;427;1495;2376;5416;1317;865;91;112;110;36972;26258;...;147;674;2170;319;291;2304;584;322
"2015";"September";"Bern / Berne";211315;...;39515;6478;3872;3551;29683;665;5477;2668;830;1099;1280;511;565;4353;1006;255;528;2692;206;80;1057;595;39;177;109;17;149;35329;3960;329;2309;539;...;384;507;283;97;677;411;531;1790;5153;12577;1987;2363;3408;5341;...;39156;...;3473;446;15315;1064;366;652;2129;1401;6342;2496;510;57;188;40;18402;6559;...;131;279;1323;296;286;978;295;240
"2015";"Oktober";"Bern / Berne";177825;...;29054;5937;4080;2391;10494;307;3241;1365;354;651;692;416;477;1915;555;216;334;1721;202;40;1173;374;93;188;29;25;119;14588;1503;261;2042;479;...;327;718;156;384;779;466;176;878;4670;5575;1420;744;986;2474;...;41274;...;2544;545;18691;803;335;205;1788;682;4969;5307;359;135;67;62;5837;3740;...;129;312;1395;219;105;655;382;195
"2015";"November";"Bern / Berne";113310;...;19196;3721;3781;2221;3719;274;1358;1173;293;580;499;311;295;1022;271;199;515;1057;137;36;783;427;29;82;11;33;57;4468;615;325;1088;252;...;171;164;93;133;430;766;32;403;2175;2025;1038;480;412;845;...;17075;...;1135;632;10766;1569;133;99;1808;253;2149;1765;316;81;46;20;1719;1440;...;160;301;1008;286;82;492;183;111
"2015";"Dezember";"Bern / Berne";144346;...;26993;9805;7005;1472;18977;585;7003;3853;1801;554;464;193;371;2559;596;1069;479;1125;131;24;517;266;52;114;75;41;36;8589;751;427;1644;133;...;186;185;168;165;1894;551;23;496;2121;1596;423;369;409;3467;...;11951;...;1838;819;7120;1509;162;232;4116;200;2120;3233;575;79;48;89;1277;2032;...;71;438;1245;149;86;345;260;106
"2016";"Januar";"Bern / Berne";187040;...;35605;9039;6397;2441;22567;375;5605;4429;1956;1058;923;718;417;1934;510;1082;1404;799;142;22;1189;180;78;302;41;81;89;6774;881;277;1967;214;...;114;221;79;75;1443;680;64;469;997;1594;563;261;320;2244;...;10035;0;719;410;11706;201;67;250;596;90;1120;1071;482;116;108;133;1641;1023;...;195;366;4587;260;154;412;428;65
"2016";"Februar";"Bern / Berne";218857;...;35202;19215;4064;2281;35008;584;14919;9049;3331;1322;1404;953;728;2214;841;474;909;1288;154;101;1762;326;140;240;476;74;73;8529;1112;241;1427;282;...;176;257;185;286;514;967;68;739;1438;1844;579;167;324;979;...;17815;0;1617;162;10206;415;98;210;868;177;2964;2387;593;412;90;41;1188;1460;...;176;412;1730;340;118;577;244;170
"2016";"März";"Bern / Berne";188753;...;42045;12730;5189;2504;25978;683;10538;6625;1432;956;1612;535;604;3725;538;335;479;1101;207;62;1664;327;60;151;192;58;85;9768;1210;319;1159;195;...;338;189;60;121;744;287;49;594;3591;2603;781;344;265;988;...;15922;0;2004;624;10491;523;247;151;1088;188;2069;4152;337;83;65;95;2925;2995;...;85;333;1959;361;183;667;273;226
"2016";"April";"Bern / Berne";120616;...;20869;4669;3609;2167;7715;256;2923;1303;477;426;624;289;348;1387;414;179;257;1149;220;23;664;268;31;97;86;6;122;9588;778;230;1844;335;...;214;116;109;147;300;137;78;822;5626;2629;909;839;414;1456;...;24323;0;1684;823;15080;832;166;191;1262;214;2950;10199;198;39;22;55;4668;3587;...;76;259;807;325;152;342;297;191
